mother,n_offspring
J1246,24
K0451,24
K0632,6
K0635,21
K1768,25
K1809,22
K2036,19
L0057,20
L0221,22
L0911,23
L0935,25
L1264,16
L1847,32
L1872,25
L1882,26
L1892,6
M0002,3
M0009,39
M0018,9
M0022,22
M0025,24
M0028,31
M0034,36
M0042,25
M0043,10
M0045,20
M0047,23
M0054,25
M0069,31
M0078,27
M0130,20
M0137,10
M0202,24
M0209,32
M0210,25
M0225,20
M0238,20
M0251,23
M0254,26
M0258,21
M0259,15
M0267,23
M0283,25
M0310,10
M0323,24
M0329,25
M0333,20
M0344,16
M0345,20
M0484,22
M0494,20
M0773,25
M0884,32
M1000,24
M1335,28
M1454,18
M1460,19
M1463,25
M1466,13
M1846,22
