iter	hours	log_posterior	log_prior	loglik	missing	mixture	scale	shape
0	0.001	-2084.719	-10.871	-2073.849	0.32	0.791	101.054	0.206
100	0.085	-1733.884	-8.147	-1725.738	0.32	0.951	84.218	0.975
200	0.17	-1712.973	-10.647	-1702.326	0.32	0.917	41.886	0.82
300	0.256	-1700.895	-16.134	-1684.761	0.32	0.949	13.214	0.546
400	0.343	-1701.258	-14.196	-1687.062	0.32	0.923	19.472	0.584
500	0.428	-1699.86	-14.407	-1685.453	0.32	0.938	18.577	0.598
600	0.513	-1701.574	-15.954	-1685.621	0.32	0.896	13.692	0.527
700	0.599	-1702.683	-15.383	-1687.3	0.32	0.928	15.739	0.51
800	0.685	-1701.252	-15.078	-1686.174	0.32	0.939	16.533	0.541
900	0.77	-1702.034	-13.779	-1688.255	0.32	0.949	21.428	0.592
1000	0.855	-1704.139	-14.597	-1689.541	0.32	0.968	18.067	0.599
1100	0.94	-1701.885	-16.221	-1685.663	0.32	0.942	13.05	0.531
1200	1.027	-1701.602	-16.375	-1685.227	0.32	0.908	12.751	0.504
1300	1.113	-1701.297	-16.337	-1684.959	0.32	0.934	12.95	0.503
1400	1.195	-1703.442	-16.91	-1686.532	0.32	0.918	11.716	0.472
1500	1.278	-1701.363	-15.357	-1686.007	0.32	0.926	15.657	0.526
1600	1.37	-1699.749	-15.051	-1684.697	0.32	0.923	16.22	0.581
1700	1.462	-1701.017	-15.841	-1685.176	0.32	0.919	14.124	0.523
1800	1.554	-1701.278	-14.789	-1686.49	0.32	0.906	17.209	0.566
1900	1.645	-1700.233	-15.168	-1685.065	0.32	0.949	16.022	0.57
2000	1.737	-1701.137	-15.534	-1685.603	0.32	0.931	15.107	0.525
2100	1.83	-1701.966	-14.381	-1687.585	0.32	0.902	18.835	0.56
2200	1.922	-1702.604	-16.935	-1685.669	0.32	0.896	11.456	0.487
2300	2.015	-1704.463	-19.831	-1684.632	0.32	0.904	6.651	0.43
2400	2.108	-1699.967	-14.323	-1685.644	0.32	0.911	18.712	0.608
2500	2.2	-1701.76	-15.675	-1686.084	0.32	0.924	14.755	0.512
2600	2.293	-1701.274	-14.102	-1687.172	0.32	0.925	19.907	0.581
2700	2.385	-1701.404	-16.087	-1685.317	0.32	0.907	13.298	0.532
2800	2.477	-1701.576	-17.658	-1683.917	0.32	0.937	10.01	0.479
2900	2.569	-1701.16	-16.108	-1685.052	0.32	0.934	13.522	0.51
3000	2.661	-1702.791	-15.71	-1687.081	0.32	0.898	14.576	0.511
3100	2.753	-1701.432	-14.243	-1687.189	0.32	0.944	19.162	0.616
3200	2.846	-1705.039	-12.73	-1692.308	0.32	0.958	26.429	0.688
3300	2.938	-1702.205	-13.102	-1689.103	0.32	0.936	24.191	0.67
3400	3.029	-1701.564	-16.728	-1684.836	0.32	0.903	11.806	0.507
3500	3.121	-1701.952	-15.323	-1686.629	0.32	0.923	15.821	0.52
3600	3.212	-1702.28	-12.952	-1689.328	0.32	0.934	24.961	0.677
3700	3.304	-1701.569	-13.509	-1688.06	0.32	0.924	22.373	0.614
3800	3.396	-1701.423	-16.638	-1684.785	0.32	0.909	11.98	0.514
3900	3.487	-1701.884	-15.401	-1686.484	0.32	0.947	15.677	0.52
4000	3.579	-1701.865	-14.218	-1687.647	0.32	0.945	19.474	0.589
