iter	hours	log_posterior	log_prior	loglik	missing	mixture	scale	shape
0	0.001	-1891.349	-9.093	-1882.256	0.32	0.981	71.054	2.006
10	0.01	-1814.542	-9.342	-1805.2	0.32	0.897	64.842	2.122
20	0.018	-1802.589	-9.314	-1793.276	0.32	0.769	66.402	2.262
30	0.027	-1790.191	-9.023	-1781.168	0.32	0.801	69.072	2.075
40	0.037	-1789.32	-9.03	-1780.29	0.32	0.794	68.396	2.034
50	0.047	-1790.563	-9.022	-1781.541	0.32	0.79	69.401	2.105
60	0.056	-1790.631	-8.913	-1781.718	0.32	0.815	71.782	2.108
70	0.065	-1791.589	-8.695	-1782.894	0.32	0.803	74.496	1.967
80	0.074	-1784.671	-8.871	-1775.8	0.32	0.79	70.313	1.894
90	0.084	-1784.465	-8.889	-1775.576	0.32	0.807	70.001	1.877
100	0.094	-1783.644	-8.841	-1774.803	0.32	0.825	70.947	1.822
110	0.103	-1782.901	-8.856	-1774.045	0.32	0.805	70.474	1.807
120	0.112	-1781.994	-8.888	-1773.106	0.32	0.77	69.703	1.745
130	0.122	-1780.164	-9.139	-1771.025	0.32	0.808	65.69	1.667
140	0.133	-1779.96	-9.009	-1770.952	0.32	0.819	68.17	1.665
150	0.143	-1778.488	-8.982	-1769.506	0.32	0.809	69.031	1.617
160	0.153	-1777.678	-9.335	-1768.343	0.32	0.803	63.302	1.562
170	0.163	-1778.457	-9.156	-1769.3	0.32	0.789	65.858	1.6
180	0.174	-1771.82	-9.422	-1762.398	0.32	0.828	65.184	1.393
190	0.184	-1748.512	-9.355	-1739.157	0.32	0.803	69.086	1.3
200	0.194	-1747.769	-9.653	-1738.116	0.32	0.776	66.251	1.227
210	0.203	-1729.298	-10.065	-1719.233	0.32	0.919	67.947	1.078
220	0.213	-1727.352	-10.244	-1717.107	0.32	0.929	68.445	1.024
230	0.223	-1726.61	-10.477	-1716.132	0.32	0.939	69.913	0.952
240	0.233	-1727.785	-10.689	-1717.096	0.32	0.954	69.91	0.912
250	0.242	-1724.125	-11.485	-1712.639	0.32	0.918	61.595	0.84
