iter	hours	assortment	log_posterior	log_prior	loglik	missing	mixture	null_assortment	scale	shape
0	0.001	0.443	-3793.272	-20.08	-3773.192	0.32	0.609	0.476	7.478	0.981
10	0.008	0.444	-3754.284	-18.06	-3736.224	0.32	0.602	0.453	12.034	0.921
20	0.015	0.43	-3743.97	-19.541	-3724.429	0.32	0.604	0.453	10.662	0.763
30	0.023	0.458	-3648.973	-15.05	-3633.922	0.32	0.7	0.439	22.513	0.943
40	0.03	0.492	-3634.751	-15.659	-3619.092	0.32	0.684	0.44	21.19	0.874
50	0.038	0.546	-3616.27	-15.466	-3600.804	0.32	0.753	0.433	27.791	0.715
60	0.045	0.517	-3613.915	-16.049	-3597.866	0.32	0.817	0.435	24.393	0.718
70	0.052	0.545	-3610.165	-17.798	-3592.367	0.32	0.834	0.434	19.992	0.62
80	0.06	0.526	-3608.674	-17.58	-3591.094	0.32	0.872	0.433	21.068	0.619
90	0.067	0.513	-3610.761	-17.275	-3593.486	0.32	0.885	0.435	21.064	0.654
100	0.074	0.516	-3609.567	-17.363	-3592.204	0.32	0.9	0.434	21.303	0.64
110	0.082	0.53	-3609.169	-18.194	-3590.976	0.32	0.922	0.434	19.107	0.607
120	0.089	0.544	-3608.366	-20.194	-3588.172	0.32	0.928	0.434	14.673	0.536
130	0.096	0.513	-3605.742	-20.612	-3585.131	0.32	0.91	0.442	12.075	0.58
140	0.104	0.514	-3606.196	-21.004	-3585.192	0.32	0.894	0.443	11.251	0.573
150	0.111	0.487	-3605.861	-22.383	-3583.478	0.32	0.876	0.445	9.259	0.532
160	0.119	0.486	-3604.029	-20.524	-3583.505	0.32	0.913	0.441	12.554	0.571
170	0.126	0.486	-3604.029	-20.524	-3583.505	0.32	0.913	0.441	12.554	0.571
180	0.134	0.486	-3604.029	-20.524	-3583.505	0.32	0.913	0.441	12.554	0.571
190	0.141	0.486	-3604.029	-20.524	-3583.505	0.32	0.913	0.441	12.554	0.571
200	0.148	0.484	-3603.643	-20.796	-3582.847	0.32	0.938	0.44	12.392	0.555
210	0.156	0.484	-3603.643	-20.796	-3582.847	0.32	0.938	0.44	12.392	0.555
220	0.163	0.484	-3603.643	-20.796	-3582.847	0.32	0.938	0.44	12.392	0.555
230	0.171	0.484	-3603.643	-20.796	-3582.847	0.32	0.938	0.44	12.392	0.555
240	0.178	0.484	-3603.643	-20.796	-3582.847	0.32	0.938	0.44	12.392	0.555
250	0.186	0.484	-3603.643	-20.796	-3582.847	0.32	0.938	0.44	12.392	0.555
260	0.193	0.486	-3603.852	-22.586	-3581.266	0.32	0.938	0.442	9.488	0.511
270	0.2	0.486	-3603.852	-22.586	-3581.266	0.32	0.938	0.442	9.488	0.511
280	0.208	0.486	-3603.852	-22.586	-3581.266	0.32	0.938	0.442	9.488	0.511
290	0.215	0.486	-3603.852	-22.586	-3581.266	0.32	0.938	0.442	9.488	0.511
300	0.223	0.486	-3603.852	-22.586	-3581.266	0.32	0.938	0.442	9.488	0.511
310	0.23	0.486	-3603.852	-22.586	-3581.266	0.32	0.938	0.442	9.488	0.511
320	0.238	0.486	-3603.852	-22.586	-3581.266	0.32	0.938	0.442	9.488	0.511
330	0.245	0.503	-3605.6	-22.598	-3583.002	0.32	0.961	0.442	9.575	0.51
340	0.253	0.503	-3605.6	-22.598	-3583.002	0.32	0.961	0.442	9.575	0.51
350	0.26	0.529	-3602.348	-23.583	-3578.765	0.32	0.931	0.443	8.176	0.489
360	0.267	0.529	-3602.348	-23.583	-3578.765	0.32	0.931	0.443	8.176	0.489
370	0.275	0.53	-3604.311	-27.276	-3577.035	0.32	0.942	0.446	4.766	0.419
380	0.282	0.518	-3603.662	-26.162	-3577.5	0.32	0.92	0.446	5.545	0.44
390	0.29	0.522	-3603.078	-25.008	-3578.069	0.32	0.941	0.444	6.686	0.458
400	0.297	0.518	-3604.633	-24.471	-3580.162	0.32	0.935	0.446	7.047	0.477
410	0.305	0.518	-3604.633	-24.471	-3580.162	0.32	0.935	0.446	7.047	0.477
420	0.312	0.518	-3604.633	-24.471	-3580.162	0.32	0.935	0.446	7.047	0.477
430	0.319	0.518	-3602.806	-24.472	-3578.334	0.32	0.919	0.445	7.116	0.472
440	0.327	0.518	-3602.806	-24.472	-3578.334	0.32	0.919	0.445	7.116	0.472
450	0.334	0.518	-3602.806	-24.472	-3578.334	0.32	0.919	0.445	7.116	0.472
460	0.342	0.518	-3602.806	-24.472	-3578.334	0.32	0.919	0.445	7.116	0.472
470	0.349	0.518	-3602.806	-24.472	-3578.334	0.32	0.919	0.445	7.116	0.472
480	0.356	0.518	-3602.806	-24.472	-3578.334	0.32	0.919	0.445	7.116	0.472
490	0.364	0.518	-3602.806	-24.472	-3578.334	0.32	0.919	0.445	7.116	0.472
500	0.371	0.518	-3602.806	-24.472	-3578.334	0.32	0.919	0.445	7.116	0.472
510	0.379	0.524	-3601.989	-23.636	-3578.353	0.32	0.939	0.442	8.241	0.483
520	0.386	0.524	-3601.989	-23.636	-3578.353	0.32	0.939	0.442	8.241	0.483
530	0.394	0.524	-3601.989	-23.636	-3578.353	0.32	0.939	0.442	8.241	0.483
540	0.401	0.524	-3601.989	-23.636	-3578.353	0.32	0.939	0.442	8.241	0.483
550	0.408	0.524	-3601.989	-23.636	-3578.353	0.32	0.939	0.442	8.241	0.483
560	0.416	0.524	-3601.989	-23.636	-3578.353	0.32	0.939	0.442	8.241	0.483
570	0.423	0.524	-3601.989	-23.636	-3578.353	0.32	0.939	0.442	8.241	0.483
580	0.431	0.51	-3602.991	-23.266	-3579.725	0.32	0.955	0.441	8.82	0.489
590	0.438	0.542	-3603.117	-24.837	-3578.28	0.32	0.944	0.444	6.844	0.463
600	0.446	0.527	-3603.691	-26.083	-3577.607	0.32	0.923	0.447	5.595	0.443
610	0.453	0.527	-3603.691	-26.083	-3577.607	0.32	0.923	0.447	5.595	0.443
