iter	hours	log_posterior	log_prior	loglik	missing	mixture	scale	shape
0	0.001	-2042.882	-32.28	-2010.602	0.32	0.813	102.638	0.277
10	0.01	-1850.18	-30.862	-1819.318	0.32	0.906	98.474	0.594
20	0.019	-1786.946	-30.082	-1756.865	0.32	0.921	95.785	0.741
30	0.028	-1763.833	-30.079	-1733.754	0.32	0.95	94.919	1.015
40	0.037	-1756.261	-28.664	-1727.597	0.32	0.942	90.497	1.04
50	0.047	-1755.754	-28.664	-1727.09	0.32	0.913	90.394	1.107
60	0.055	-1754.051	-27.295	-1726.756	0.32	0.893	86.041	1.153
70	0.064	-1752.835	-26.71	-1726.125	0.32	0.944	84.212	1.102
80	0.072	-1747.778	-25.14	-1722.638	0.32	0.906	79.711	1.03
90	0.081	-1746.806	-24.234	-1722.572	0.32	0.889	77.154	0.958
100	0.09	-1740.382	-21.929	-1718.453	0.32	0.908	69.928	0.946
110	0.099	-1740.227	-22.316	-1717.912	0.32	0.898	70.841	1.05
120	0.108	-1739.033	-22.37	-1716.663	0.32	0.938	71.136	0.965
130	0.117	-1736.773	-21.229	-1715.544	0.32	0.946	67.716	0.897
140	0.126	-1732.285	-19.636	-1712.649	0.32	0.925	62.852	0.88
150	0.135	-1730.354	-18.68	-1711.674	0.32	0.933	59.893	0.845
160	0.144	-1729.376	-17.731	-1711.645	0.32	0.904	57.113	0.799
170	0.153	-1731.733	-18.092	-1713.64	0.32	0.965	57.823	0.853
180	0.162	-1729.798	-17.5	-1712.297	0.32	0.921	55.947	0.94
190	0.171	-1727.376	-17.39	-1709.985	0.32	0.932	55.889	0.818
200	0.18	-1727.08	-17.069	-1710.011	0.32	0.943	54.733	0.852
210	0.189	-1726.284	-16.754	-1709.53	0.32	0.945	53.803	0.818
220	0.198	-1722.919	-15.465	-1707.454	0.32	0.933	49.759	0.818
230	0.208	-1722.652	-14.385	-1708.267	0.32	0.892	46.644	0.728
240	0.216	-1714.044	-12.89	-1701.154	0.32	0.906	41.632	0.8
250	0.224	-1714.044	-12.89	-1701.154	0.32	0.906	41.632	0.8
260	0.234	-1715.676	-12.043	-1703.633	0.32	0.867	38.913	0.829
270	0.243	-1712.55	-11.562	-1700.989	0.32	0.903	37.342	0.794
280	0.252	-1711.993	-12.175	-1699.818	0.32	0.909	39.375	0.771
290	0.261	-1713.568	-12.146	-1701.421	0.32	0.951	39.109	0.767
300	0.27	-1712.709	-12.697	-1700.012	0.32	0.935	41.043	0.736
310	0.279	-1709.666	-11.341	-1698.325	0.32	0.939	36.691	0.699
320	0.287	-1706.392	-9.618	-1696.774	0.32	0.909	31.235	0.642
330	0.296	-1705.316	-9.525	-1695.791	0.32	0.936	30.802	0.653
340	0.305	-1698.181	-7.38	-1690.802	0.32	0.955	23.435	0.663
350	0.315	-1697.808	-7.539	-1690.269	0.32	0.943	24.038	0.674
360	0.324	-1697.167	-8.015	-1689.152	0.32	0.917	25.757	0.687
370	0.333	-1697.167	-8.015	-1689.152	0.32	0.917	25.757	0.687
380	0.342	-1697.167	-8.015	-1689.152	0.32	0.917	25.757	0.687
390	0.351	-1697.167	-8.015	-1689.152	0.32	0.917	25.757	0.687
400	0.361	-1695.015	-7.224	-1687.791	0.32	0.908	23.126	0.66
410	0.37	-1695.342	-6.69	-1688.652	0.32	0.906	21.338	0.623
420	0.379	-1693.837	-7.032	-1686.805	0.32	0.938	22.38	0.634
430	0.387	-1690.852	-4.749	-1686.103	0.32	0.923	14.347	0.507
440	0.396	-1690.956	-4.964	-1685.992	0.32	0.93	15.125	0.517
450	0.406	-1692.758	-5.837	-1686.921	0.32	0.944	18.221	0.559
460	0.415	-1690.221	-5.245	-1684.975	0.32	0.945	16.053	0.573
470	0.424	-1690.535	-4.689	-1685.846	0.32	0.924	14.102	0.548
480	0.433	-1691.272	-4.546	-1686.726	0.32	0.949	13.415	0.541
490	0.443	-1689.821	-4.459	-1685.361	0.32	0.904	13.308	0.531
500	0.452	-1689.808	-4.123	-1685.685	0.32	0.887	12.05	0.519
510	0.461	-1691.464	-4.501	-1686.963	0.32	0.93	13.363	0.485
520	0.47	-1688.972	-4.14	-1684.832	0.32	0.91	12.04	0.5
530	0.479	-1687.889	-3.647	-1684.243	0.32	0.919	9.964	0.494
540	0.488	-1687.998	-3.228	-1684.77	0.32	0.894	8.172	0.456
550	0.496	-1687.342	-2.847	-1684.495	0.32	0.898	6.137	0.429
560	0.504	-1687.342	-2.847	-1684.495	0.32	0.898	6.137	0.429
570	0.512	-1687.342	-2.847	-1684.495	0.32	0.898	6.137	0.429
580	0.521	-1686.679	-3.143	-1683.536	0.32	0.943	7.469	0.447
590	0.53	-1686.679	-3.143	-1683.536	0.32	0.943	7.469	0.447
600	0.538	-1686.674	-3.029	-1683.645	0.32	0.936	6.925	0.432
610	0.547	-1686.706	-3.07	-1683.636	0.32	0.947	7.047	0.436
620	0.556	-1686.544	-2.892	-1683.652	0.32	0.945	6.048	0.419
630	0.564	-1687.156	-2.975	-1684.181	0.32	0.944	6.539	0.42
640	0.573	-1687.14	-2.98	-1684.16	0.32	0.945	6.556	0.42
650	0.582	-1686.603	-2.765	-1683.839	0.32	0.938	5.328	0.425
660	0.591	-1686.389	-2.678	-1683.711	0.32	0.936	4.644	0.407
670	0.6	-1686.389	-2.678	-1683.711	0.32	0.936	4.644	0.407
680	0.609	-1686.389	-2.678	-1683.711	0.32	0.936	4.644	0.407
690	0.618	-1686.389	-2.678	-1683.711	0.32	0.936	4.644	0.407
700	0.627	-1686.743	-2.972	-1683.771	0.32	0.93	6.682	0.449
710	0.635	-1686.98	-2.896	-1684.085	0.32	0.961	5.885	0.42
720	0.643	-1686.795	-2.727	-1684.068	0.32	0.957	4.722	0.406
730	0.652	-1686.795	-2.727	-1684.068	0.32	0.957	4.722	0.406
740	0.66	-1687.033	-2.62	-1684.413	0.32	0.952	3.468	0.381
750	0.668	-1687.033	-2.62	-1684.413	0.32	0.952	3.468	0.381
760	0.677	-1686.702	-2.819	-1683.883	0.32	0.949	5.573	0.426
770	0.686	-1686.702	-2.819	-1683.883	0.32	0.949	5.573	0.426
780	0.695	-1686.702	-2.819	-1683.883	0.32	0.949	5.573	0.426
790	0.704	-1686.702	-2.819	-1683.883	0.32	0.949	5.573	0.426
800	0.713	-1686.942	-3.023	-1683.92	0.32	0.935	6.925	0.453
810	0.722	-1688.581	-4.11	-1684.472	0.32	0.94	11.766	0.498
820	0.731	-1688.581	-4.11	-1684.472	0.32	0.94	11.766	0.498
830	0.74	-1688.581	-4.11	-1684.472	0.32	0.94	11.766	0.498
840	0.749	-1690.187	-4.271	-1685.916	0.32	0.962	12.236	0.503
850	0.758	-1690.187	-4.271	-1685.916	0.32	0.962	12.236	0.503
860	0.767	-1689.444	-3.426	-1686.018	0.32	0.902	9.044	0.449
870	0.776	-1689.444	-3.426	-1686.018	0.32	0.902	9.044	0.449
880	0.785	-1686.69	-2.971	-1683.719	0.32	0.916	6.765	0.447
890	0.794	-1686.491	-3.046	-1683.445	0.32	0.939	6.993	0.438
900	0.803	-1687.262	-3.343	-1683.919	0.32	0.912	8.641	0.472
910	0.812	-1688.895	-3.665	-1685.23	0.32	0.9	10.114	0.472
920	0.82	-1686.987	-3.055	-1683.931	0.32	0.934	7.076	0.432
930	0.828	-1686.432	-2.664	-1683.768	0.32	0.928	4.625	0.409
940	0.837	-1686.432	-2.664	-1683.768	0.32	0.928	4.625	0.409
950	0.845	-1688.171	-2.729	-1685.442	0.32	0.971	4.29	0.381
960	0.853	-1687.812	-2.623	-1685.189	0.32	0.945	2.552	0.361
970	0.861	-1688.423	-2.645	-1685.778	0.32	0.921	4.413	0.384
980	0.87	-1687.251	-2.803	-1684.448	0.32	0.902	5.844	0.423
990	0.879	-1686.871	-3.298	-1683.573	0.32	0.926	8.348	0.46
1000	0.888	-1686.871	-3.298	-1683.573	0.32	0.926	8.348	0.46
1010	0.897	-1687.5	-3.349	-1684.151	0.32	0.941	8.478	0.447
1020	0.906	-1688.481	-3.68	-1684.802	0.32	0.95	9.894	0.46
1030	0.915	-1689.301	-4.102	-1685.199	0.32	0.939	11.743	0.518
1040	0.924	-1688.403	-3.996	-1684.407	0.32	0.923	11.4	0.491
1050	0.933	-1690.175	-4.593	-1685.582	0.32	0.925	13.733	0.542
