iter	hours	assortment	log_posterior	log_prior	loglik	missing	mixture	null_assortment	scale	shape
0	0.001	0.414	-3763.512	-3.817	-3759.694	0.32	0.644	0.461	10.069	1.007
10	0.009	0.483	-3726.643	-4.49	-3722.153	0.32	0.671	0.451	13.024	0.95
20	0.016	0.506	-3716.492	-4.741	-3711.75	0.32	0.687	0.448	14.155	0.9
30	0.024	0.532	-3606.704	-5.118	-3601.586	0.32	0.73	0.439	16.204	0.638
40	0.032	0.536	-3603.915	-4.405	-3599.51	0.32	0.737	0.44	13.584	0.589
50	0.04	0.598	-3600.139	-3.874	-3596.265	0.32	0.769	0.44	11.486	0.538
60	0.048	0.648	-3596.705	-3.956	-3592.749	0.32	0.797	0.443	11.714	0.588
70	0.056	0.667	-3601.824	-3.912	-3597.912	0.32	0.737	0.444	11.596	0.591
80	0.063	0.706	-3598.546	-4.718	-3593.828	0.32	0.8	0.438	14.648	0.579
90	0.071	0.697	-3598.244	-4.909	-3593.335	0.32	0.823	0.439	15.302	0.607
100	0.079	0.683	-3597.558	-5.145	-3592.412	0.32	0.853	0.439	16.102	0.628
110	0.087	0.683	-3597.558	-5.145	-3592.412	0.32	0.853	0.439	16.102	0.628
120	0.095	0.696	-3597.527	-5.539	-3591.988	0.32	0.862	0.437	17.516	0.626
130	0.103	0.649	-3598.214	-4.941	-3593.272	0.32	0.85	0.44	15.342	0.646
140	0.111	0.66	-3594.267	-5.09	-3589.177	0.32	0.844	0.438	15.95	0.614
150	0.118	0.66	-3594.267	-5.09	-3589.177	0.32	0.844	0.438	15.95	0.614
160	0.126	0.635	-3594.305	-4.53	-3589.775	0.32	0.897	0.441	13.736	0.604
170	0.134	0.647	-3590.495	-4.709	-3585.786	0.32	0.902	0.438	14.425	0.579
180	0.142	0.647	-3590.495	-4.709	-3585.786	0.32	0.902	0.438	14.425	0.579
190	0.15	0.647	-3590.495	-4.709	-3585.786	0.32	0.902	0.438	14.425	0.579
200	0.158	0.686	-3592.487	-4.269	-3588.218	0.32	0.899	0.439	12.74	0.555
210	0.166	0.635	-3591.666	-4.608	-3587.058	0.32	0.913	0.439	13.997	0.587
220	0.173	0.584	-3594.476	-4.029	-3590.447	0.32	0.866	0.439	11.945	0.537
230	0.181	0.591	-3584.395	-2.775	-3581.62	0.32	0.885	0.455	6.167	0.51
240	0.189	0.591	-3584.395	-2.775	-3581.62	0.32	0.885	0.455	6.167	0.51
250	0.197	0.526	-3582.355	-2.822	-3579.534	0.32	0.893	0.448	6.407	0.471
260	0.205	0.526	-3582.355	-2.822	-3579.534	0.32	0.893	0.448	6.407	0.471
270	0.213	0.522	-3585.149	-3.038	-3582.111	0.32	0.913	0.447	7.461	0.499
280	0.221	0.51	-3582.519	-3.037	-3579.483	0.32	0.899	0.445	7.523	0.487
290	0.228	0.51	-3582.519	-3.037	-3579.483	0.32	0.899	0.445	7.523	0.487
300	0.236	0.51	-3582.519	-3.037	-3579.483	0.32	0.899	0.445	7.523	0.487
310	0.244	0.517	-3581.585	-2.975	-3578.61	0.32	0.907	0.445	7.168	0.476
320	0.252	0.517	-3581.585	-2.975	-3578.61	0.32	0.907	0.445	7.168	0.476
330	0.26	0.517	-3581.585	-2.975	-3578.61	0.32	0.907	0.445	7.168	0.476
340	0.268	0.517	-3581.585	-2.975	-3578.61	0.32	0.907	0.445	7.168	0.476
350	0.276	0.517	-3581.585	-2.975	-3578.61	0.32	0.907	0.445	7.168	0.476
360	0.284	0.517	-3581.585	-2.975	-3578.61	0.32	0.907	0.445	7.168	0.476
370	0.292	0.517	-3581.585	-2.975	-3578.61	0.32	0.907	0.445	7.168	0.476
380	0.3	0.517	-3581.585	-2.975	-3578.61	0.32	0.907	0.445	7.168	0.476
390	0.308	0.517	-3581.585	-2.975	-3578.61	0.32	0.907	0.445	7.168	0.476
400	0.315	0.517	-3581.585	-2.975	-3578.61	0.32	0.907	0.445	7.168	0.476
410	0.323	0.522	-3580.991	-2.911	-3578.079	0.32	0.927	0.445	6.706	0.463
420	0.331	0.522	-3580.991	-2.911	-3578.079	0.32	0.927	0.445	6.706	0.463
430	0.339	0.541	-3582.554	-2.932	-3579.622	0.32	0.929	0.446	6.809	0.475
440	0.347	0.541	-3580.56	-2.751	-3577.808	0.32	0.953	0.445	5.462	0.433
450	0.355	0.536	-3581.664	-2.563	-3579.101	0.32	0.947	0.451	3.902	0.411
460	0.363	0.557	-3582.625	-2.504	-3580.121	0.32	0.926	0.456	3.382	0.408
470	0.371	0.557	-3582.625	-2.504	-3580.121	0.32	0.926	0.456	3.382	0.408
480	0.379	0.557	-3582.625	-2.504	-3580.121	0.32	0.926	0.456	3.382	0.408
490	0.387	0.533	-3583.936	-2.61	-3581.326	0.32	0.948	0.462	2.094	0.368
500	0.395	0.556	-3582.996	-2.503	-3580.493	0.32	0.927	0.458	2.959	0.397
510	0.403	0.556	-3582.996	-2.503	-3580.493	0.32	0.927	0.458	2.959	0.397
520	0.41	0.556	-3582.996	-2.503	-3580.493	0.32	0.927	0.458	2.959	0.397
530	0.418	0.565	-3582.827	-2.548	-3580.279	0.32	0.895	0.462	2.089	0.368
540	0.426	0.565	-3582.827	-2.548	-3580.279	0.32	0.895	0.462	2.089	0.368
550	0.434	0.537	-3583.017	-2.616	-3580.401	0.32	0.929	0.452	4.78	0.441
560	0.442	0.537	-3583.017	-2.616	-3580.401	0.32	0.929	0.452	4.78	0.441
570	0.45	0.528	-3579.823	-2.927	-3576.896	0.32	0.934	0.443	6.727	0.454
580	0.458	0.528	-3579.823	-2.927	-3576.896	0.32	0.934	0.443	6.727	0.454
590	0.465	0.528	-3579.823	-2.927	-3576.896	0.32	0.934	0.443	6.727	0.454
600	0.473	0.515	-3584.073	-2.752	-3581.321	0.32	0.948	0.449	5.565	0.452
610	0.481	0.559	-3580.677	-2.533	-3578.144	0.32	0.939	0.452	3.55	0.401
620	0.489	0.559	-3580.677	-2.533	-3578.144	0.32	0.939	0.452	3.55	0.401
630	0.497	0.559	-3580.677	-2.533	-3578.144	0.32	0.939	0.452	3.55	0.401
640	0.505	0.559	-3580.677	-2.533	-3578.144	0.32	0.939	0.452	3.55	0.401
650	0.513	0.559	-3580.677	-2.533	-3578.144	0.32	0.939	0.452	3.55	0.401
660	0.521	0.559	-3580.677	-2.533	-3578.144	0.32	0.939	0.452	3.55	0.401
670	0.529	0.559	-3580.677	-2.533	-3578.144	0.32	0.939	0.452	3.55	0.401
680	0.537	0.559	-3580.677	-2.533	-3578.144	0.32	0.939	0.452	3.55	0.401
690	0.545	0.559	-3580.677	-2.533	-3578.144	0.32	0.939	0.452	3.55	0.401
700	0.552	0.582	-3581.099	-2.547	-3578.552	0.32	0.939	0.455	2.571	0.374
710	0.561	0.582	-3581.099	-2.547	-3578.552	0.32	0.939	0.455	2.571	0.374
720	0.569	0.555	-3579.077	-2.523	-3576.553	0.32	0.925	0.449	3.675	0.396
730	0.577	0.555	-3579.077	-2.523	-3576.553	0.32	0.925	0.449	3.675	0.396
740	0.585	0.555	-3579.077	-2.523	-3576.553	0.32	0.925	0.449	3.675	0.396
