iter	hours	assortment	log_posterior	log_prior	loglik	missing	mixture	null_assortment	scale	shape
0	0.001	0.194	-3990.797	-48.887	-3941.91	0.32	0.822	0.331	100.988	0.17
10	0.009	0.233	-3867.565	-34.799	-3832.766	0.32	0.874	0.361	101.681	0.377
20	0.018	0.231	-3749.291	-25.433	-3723.858	0.32	0.94	0.403	99.596	0.672
30	0.027	0.277	-3695.284	-19.927	-3675.357	0.32	0.973	0.421	101.906	0.971
40	0.035	0.36	-3675.749	-18.392	-3657.357	0.32	0.922	0.423	99.764	1.081
50	0.044	0.44	-3657.475	-18.391	-3639.084	0.32	0.954	0.424	92.31	1.104
60	0.052	0.464	-3653.628	-19.535	-3634.094	0.32	0.894	0.424	89.421	1.017
70	0.061	0.524	-3643.417	-16.121	-3627.296	0.32	0.902	0.425	94.963	1.298
80	0.069	0.615	-3632.622	-17.386	-3615.236	0.32	0.926	0.425	89.449	1.196
90	0.078	0.642	-3631.981	-18.672	-3613.309	0.32	0.923	0.426	81.936	1.109
100	0.086	0.649	-3631.87	-19.371	-3612.499	0.32	0.86	0.425	80.06	1.056
110	0.094	0.594	-3628.689	-19.565	-3609.124	0.32	0.846	0.427	71.339	1.071
120	0.103	0.604	-3629.313	-19.252	-3610.061	0.32	0.844	0.427	71.639	1.095
130	0.111	0.555	-3630.323	-18.136	-3612.186	0.32	0.897	0.427	74.495	1.181
140	0.12	0.529	-3630.227	-18.64	-3611.587	0.32	0.88	0.428	68.767	1.16
150	0.128	0.608	-3629.902	-19.51	-3610.392	0.32	0.836	0.428	64.402	1.105
160	0.137	0.615	-3627.827	-21.387	-3606.44	0.32	0.861	0.426	66.671	0.957
170	0.146	0.635	-3630.035	-19.495	-3610.54	0.32	0.875	0.427	68.585	1.089
180	0.154	0.56	-3633.925	-16.494	-3617.431	0.32	0.843	0.428	73.962	1.343
190	0.163	0.608	-3637.624	-16.029	-3621.594	0.32	0.908	0.427	79.221	1.373
200	0.171	0.627	-3630.321	-18.844	-3611.477	0.32	0.873	0.426	79.987	1.098
210	0.18	0.627	-3630.321	-18.844	-3611.477	0.32	0.873	0.426	79.987	1.098
220	0.189	0.606	-3630.597	-18.488	-3612.109	0.32	0.898	0.427	72.978	1.156
230	0.197	0.582	-3630.01	-18.108	-3611.902	0.32	0.87	0.427	74.949	1.18
240	0.206	0.598	-3628.894	-19.148	-3609.745	0.32	0.863	0.427	71.379	1.105
250	0.215	0.564	-3631.559	-18.391	-3613.168	0.32	0.882	0.428	66.705	1.193
260	0.223	0.544	-3630.964	-17.898	-3613.066	0.32	0.864	0.427	71.736	1.213
270	0.232	0.611	-3629.397	-19.089	-3610.308	0.32	0.898	0.427	72.909	1.106
280	0.241	0.614	-3629.285	-19.536	-3609.749	0.32	0.915	0.426	73.097	1.07
290	0.249	0.606	-3628.81	-20.968	-3607.842	0.32	0.939	0.426	67.83	0.986
300	0.258	0.583	-3629.381	-20.166	-3609.215	0.32	0.81	0.428	62.17	1.062
310	0.267	0.604	-3629.195	-20.773	-3608.422	0.32	0.899	0.429	57.964	1.04
320	0.275	0.646	-3629.185	-21.843	-3607.342	0.32	0.927	0.426	65.369	0.936
330	0.284	0.635	-3628.292	-22.02	-3606.272	0.32	0.857	0.427	62.283	0.932
340	0.293	0.565	-3625.781	-21.492	-3604.289	0.32	0.886	0.427	61.297	0.972
