iter	hours	log_posterior	log_prior	loglik	missing	mixture	scale	shape
0	0.001	-1888.925	-30.61	-1858.314	0.32	0.584	7.606	0.987
10	0.01	-1828.971	-29.367	-1799.604	0.32	0.665	11.426	0.939
20	0.019	-1780.996	-29.272	-1751.724	0.32	0.601	25.882	0.731
30	0.028	-1751.388	-28.023	-1723.365	0.32	0.714	32.577	0.743
40	0.037	-1737.795	-27.756	-1710.039	0.32	0.802	31.953	0.762
50	0.046	-1737.535	-26.083	-1711.452	0.32	0.795	37.744	0.811
60	0.055	-1732.841	-26.478	-1706.363	0.32	0.87	43.602	0.761
70	0.064	-1728.887	-26.177	-1702.71	0.32	0.947	40.438	0.797
80	0.074	-1727.056	-26.956	-1700.1	0.32	0.929	41.529	0.75
90	0.083	-1726.362	-27.054	-1699.308	0.32	0.917	38.535	0.76
100	0.092	-1724.261	-27.801	-1696.46	0.32	0.908	32.896	0.756
110	0.101	-1727.822	-30.01	-1697.812	0.32	0.864	30.2	0.67
120	0.11	-1725.709	-28.638	-1697.071	0.32	0.902	32.577	0.718
130	0.119	-1725.955	-29.54	-1696.415	0.32	0.887	30.766	0.688
140	0.128	-1725.751	-28.426	-1697.324	0.32	0.916	33.16	0.725
150	0.138	-1723.751	-29.956	-1693.795	0.32	0.933	27.549	0.693
160	0.147	-1723.308	-30.732	-1692.577	0.32	0.962	25.328	0.678
170	0.156	-1723.308	-30.732	-1692.577	0.32	0.962	25.328	0.678
180	0.165	-1719.773	-30.853	-1688.92	0.32	0.945	25.725	0.668
190	0.174	-1719.756	-31.763	-1687.993	0.32	0.951	24.155	0.642
200	0.184	-1719.756	-31.763	-1687.993	0.32	0.951	24.155	0.642
210	0.193	-1719.756	-31.763	-1687.993	0.32	0.951	24.155	0.642
220	0.202	-1719.133	-33.57	-1685.563	0.32	0.926	19.379	0.609
230	0.211	-1719.19	-32.571	-1686.619	0.32	0.907	21.029	0.633
240	0.22	-1720.183	-32.149	-1688.034	0.32	0.933	21.579	0.646
250	0.23	-1719.842	-31.34	-1688.502	0.32	0.942	24.258	0.658
260	0.239	-1719.842	-31.34	-1688.502	0.32	0.942	24.258	0.658
270	0.248	-1719.634	-31.441	-1688.193	0.32	0.92	23.096	0.662
280	0.257	-1719.634	-31.441	-1688.193	0.32	0.92	23.096	0.662
290	0.266	-1721.594	-31.511	-1690.083	0.32	0.9	23.761	0.653
300	0.276	-1721.594	-31.511	-1690.083	0.32	0.9	23.761	0.653
310	0.285	-1721.075	-33.149	-1687.926	0.32	0.957	20.469	0.618
320	0.294	-1721.075	-33.149	-1687.926	0.32	0.957	20.469	0.618
330	0.303	-1721.224	-32.8	-1688.424	0.32	0.937	22.289	0.615
340	0.312	-1720.851	-32.237	-1688.614	0.32	0.913	23.215	0.628
350	0.322	-1721.24	-33.502	-1687.738	0.32	0.935	20.514	0.602
360	0.331	-1718.699	-32.346	-1686.353	0.32	0.922	21.884	0.635
370	0.34	-1718.699	-32.346	-1686.353	0.32	0.922	21.884	0.635
380	0.349	-1720.024	-30.899	-1689.125	0.32	0.941	25.056	0.671
390	0.358	-1720.024	-30.899	-1689.125	0.32	0.941	25.056	0.671
400	0.368	-1720.296	-30.861	-1689.435	0.32	0.941	24.973	0.673
410	0.377	-1720.296	-30.861	-1689.435	0.32	0.941	24.973	0.673
420	0.386	-1720.296	-30.861	-1689.435	0.32	0.941	24.973	0.673
430	0.395	-1720.296	-30.861	-1689.435	0.32	0.941	24.973	0.673
440	0.404	-1720.479	-31.078	-1689.401	0.32	0.956	25.855	0.658
450	0.414	-1723.159	-32.842	-1690.317	0.32	0.962	23.229	0.608
460	0.423	-1722.011	-35.574	-1686.437	0.32	0.926	17.668	0.552
470	0.432	-1721.842	-35.84	-1686.001	0.32	0.912	16.128	0.557
480	0.441	-1722.119	-35.287	-1686.833	0.32	0.941	17.091	0.568
490	0.45	-1722.472	-35.926	-1686.546	0.32	0.937	15.576	0.561
500	0.46	-1722.116	-36.345	-1685.771	0.32	0.922	16.009	0.542
510	0.469	-1721.81	-34.554	-1687.257	0.32	0.935	19.709	0.571
520	0.478	-1721.279	-33.57	-1687.708	0.32	0.937	21.451	0.592
530	0.487	-1721.45	-33.933	-1687.517	0.32	0.92	20.681	0.584
540	0.496	-1721.748	-33.319	-1688.429	0.32	0.891	20.492	0.608
550	0.506	-1721.748	-33.319	-1688.429	0.32	0.891	20.492	0.608
560	0.515	-1721.748	-33.319	-1688.429	0.32	0.891	20.492	0.608
570	0.524	-1721.367	-34.36	-1687.007	0.32	0.923	19.123	0.582
580	0.533	-1721.367	-34.36	-1687.007	0.32	0.923	19.123	0.582
590	0.542	-1721.256	-34.108	-1687.148	0.32	0.921	19.4	0.589
600	0.552	-1721.656	-32.64	-1689.016	0.32	0.906	21.139	0.629
610	0.561	-1721.37	-32.419	-1688.952	0.32	0.951	21.341	0.638
620	0.57	-1718.705	-32.312	-1686.393	0.32	0.932	22.342	0.633
630	0.579	-1718.99	-32.407	-1686.583	0.32	0.928	21.727	0.634
640	0.588	-1720.301	-34.161	-1686.14	0.32	0.948	18.458	0.597
650	0.597	-1720.513	-34.274	-1686.239	0.32	0.949	18.176	0.595
660	0.607	-1720.513	-34.274	-1686.239	0.32	0.949	18.176	0.595
670	0.616	-1720.513	-34.274	-1686.239	0.32	0.949	18.176	0.595
680	0.625	-1720.513	-34.274	-1686.239	0.32	0.949	18.176	0.595
690	0.634	-1721.842	-34.837	-1687.005	0.32	0.946	18.804	0.569
700	0.643	-1721.697	-34.357	-1687.34	0.32	0.898	18.827	0.584
710	0.652	-1721.697	-34.357	-1687.34	0.32	0.898	18.827	0.584
720	0.662	-1721.488	-34.354	-1687.134	0.32	0.909	18.541	0.587
730	0.671	-1721.874	-34.966	-1686.908	0.32	0.907	16.985	0.579
