iter	hours	log_posterior	log_prior	loglik	missing	mixture	scale	shape
0	0.001	-1902.348	-7.922	-1894.426	0.22	0.981	71.054	2.006
10	0.007	-1846.816	-8.025	-1838.791	0.22	0.864	66.155	2.053
20	0.015	-1832.948	-8.256	-1824.691	0.22	0.83	62.959	2.146
30	0.022	-1825.075	-8.046	-1817.028	0.22	0.763	64.402	1.989
40	0.029	-1819.352	-7.975	-1811.376	0.22	0.811	65.139	1.77
50	0.036	-1820.615	-7.807	-1812.808	0.22	0.822	68.299	1.835
60	0.043	-1809.643	-7.441	-1802.203	0.22	0.75	75.355	1.712
70	0.05	-1807.564	-7.404	-1800.16	0.22	0.782	76.462	1.696
80	0.057	-1799.016	-7.505	-1791.511	0.22	0.818	74.543	1.7
90	0.064	-1796.274	-7.9	-1788.374	0.22	0.778	68.064	1.547
100	0.071	-1790.153	-7.981	-1782.173	0.22	0.841	69.535	1.422
110	0.078	-1774.793	-8.013	-1766.779	0.22	0.893	73.55	1.299
120	0.085	-1768.805	-8.404	-1760.401	0.22	0.943	71.507	1.194
130	0.092	-1768.366	-8.724	-1759.641	0.22	0.927	67.951	1.135
140	0.1	-1749.343	-8.447	-1740.896	0.22	0.878	84.67	0.983
150	0.108	-1747.652	-8.672	-1738.98	0.22	0.93	83.556	0.953
160	0.116	-1746.937	-8.755	-1738.182	0.22	0.919	81.708	0.948
170	0.122	-1748.009	-8.959	-1739.051	0.22	0.945	81.411	0.915
180	0.131	-1750.111	-9.642	-1740.47	0.22	0.93	76.725	0.821
190	0.139	-1748.629	-9.782	-1738.847	0.22	0.898	72.8	0.823
200	0.147	-1749.571	-9.951	-1739.619	0.22	0.869	69.981	0.815
210	0.155	-1745.286	-9.944	-1735.342	0.22	0.961	69.261	0.841
220	0.162	-1744.099	-9.824	-1734.275	0.22	0.909	69.196	0.849
230	0.171	-1743.929	-9.665	-1734.263	0.22	0.933	70.996	0.866
240	0.179	-1744.08	-9.803	-1734.277	0.22	0.919	69.802	0.849
250	0.188	-1745.105	-9.43	-1735.675	0.22	0.903	73.19	0.884
260	0.196	-1744.595	-9.62	-1734.975	0.22	0.9	70.957	0.868
270	0.205	-1744.664	-10.307	-1734.358	0.22	0.939	66.477	0.798
280	0.213	-1743.994	-10.339	-1733.654	0.22	0.95	65.531	0.804
290	0.222	-1743.7	-10.319	-1733.381	0.22	0.957	65.061	0.815
300	0.23	-1745.292	-9.918	-1735.374	0.22	0.921	69.932	0.828
310	0.239	-1744.513	-9.878	-1734.635	0.22	0.932	69.869	0.838
