iter	hours	assortment	log_posterior	log_prior	loglik	missing	mixture	null_assortment	scale	shape
0	0.001	0.199	-4035.263	-16.484	-4018.779	0.22	0.853	0.342	100.274	0.252
10	0.009	0.247	-3983.329	-14.542	-3968.787	0.22	0.815	0.352	100.586	0.324
20	0.017	0.289	-3883.845	-11.041	-3872.804	0.22	0.852	0.386	100.433	0.539
30	0.025	0.304	-3849.481	-10.689	-3838.792	0.22	0.918	0.394	97.171	0.585
40	0.033	0.311	-3806.116	-8.51	-3797.606	0.22	0.94	0.415	106.253	0.833
50	0.041	0.372	-3777.26	-7.696	-3769.563	0.22	0.952	0.422	102.749	1.029
60	0.049	0.477	-3756.136	-8.115	-3748.022	0.22	0.936	0.422	95.281	0.973
70	0.057	0.56	-3733.935	-8.43	-3725.506	0.22	0.928	0.422	90.286	0.937
80	0.066	0.572	-3730.958	-8.062	-3722.895	0.22	0.894	0.425	85.955	1.06
90	0.075	0.542	-3729.488	-8.581	-3720.908	0.22	0.913	0.425	80.435	0.986
100	0.083	0.56	-3731.712	-8.44	-3723.272	0.22	0.813	0.427	73.717	1.089
110	0.091	0.586	-3722.813	-9.456	-3713.357	0.22	0.77	0.428	58.617	1.035
120	0.1	0.594	-3718.923	-9.872	-3709.051	0.22	0.822	0.429	55.115	0.994
130	0.108	0.658	-3711.021	-9.583	-3701.438	0.22	0.853	0.428	60.291	0.986
140	0.117	0.658	-3711.021	-9.583	-3701.438	0.22	0.853	0.428	60.291	0.986
150	0.125	0.653	-3710.36	-9.623	-3700.736	0.22	0.857	0.428	60.316	0.976
160	0.134	0.653	-3710.144	-9.658	-3700.485	0.22	0.889	0.428	59.079	0.992
170	0.142	0.647	-3710.533	-9.625	-3700.908	0.22	0.945	0.426	66.491	0.915
180	0.151	0.663	-3710.956	-10.494	-3700.462	0.22	0.956	0.426	58.8	0.841
190	0.159	0.653	-3707.572	-10.921	-3696.651	0.22	0.94	0.427	52.642	0.836
200	0.167	0.612	-3705.6	-10.885	-3694.715	0.22	0.942	0.427	52.702	0.842
210	0.176	0.612	-3705.6	-10.885	-3694.715	0.22	0.942	0.427	52.702	0.842
220	0.184	0.611	-3695.607	-11.091	-3684.515	0.22	0.959	0.427	50.772	0.837
230	0.192	0.606	-3693.504	-11.555	-3681.949	0.22	0.954	0.427	48.431	0.79
240	0.201	0.591	-3689.614	-12.317	-3677.297	0.22	0.893	0.429	40.923	0.767
250	0.209	0.59	-3690.182	-12.049	-3678.133	0.22	0.903	0.429	41.781	0.796
260	0.217	0.59	-3690.182	-12.049	-3678.133	0.22	0.903	0.429	41.781	0.796
270	0.226	0.604	-3690.251	-12.182	-3678.069	0.22	0.913	0.428	41.903	0.776
280	0.234	0.581	-3689.195	-13.559	-3675.636	0.22	0.919	0.427	35.869	0.679
290	0.242	0.593	-3689.339	-14.087	-3675.252	0.22	0.936	0.427	33.465	0.655
300	0.251	0.608	-3692.938	-14.455	-3678.483	0.22	0.971	0.428	31.317	0.654
310	0.259	0.571	-3689.108	-14.02	-3675.088	0.22	0.936	0.427	33.526	0.661
320	0.268	0.61	-3690.043	-14.521	-3675.522	0.22	0.936	0.427	31.751	0.632
330	0.277	0.581	-3689.416	-15.103	-3674.312	0.22	0.901	0.427	28.814	0.611
340	0.285	0.576	-3689.971	-15.896	-3674.075	0.22	0.935	0.426	26.297	0.577
350	0.294	0.577	-3689.743	-15.985	-3673.758	0.22	0.926	0.426	25.79	0.576
360	0.302	0.583	-3688.627	-16.439	-3672.189	0.22	0.93	0.428	23.347	0.575
