iter	hours	assortment	log_posterior	log_prior	loglik	missing	mixture	scale	shape
0	0.001	0.603	-3646.873	-11.227	-3635.646	0.32	1.0	38.774	0.521
100	0.07	0.533	-3633.463	-10.837	-3622.626	0.32	1.0	40.65	0.603
200	0.139	0.643	-3636.663	-10.885	-3625.778	0.32	1.0	41.165	0.554
300	0.208	0.487	-3627.874	-13.85	-3614.024	0.32	1.0	21.614	0.508
400	0.275	0.579	-3612.553	-24.942	-3587.611	0.32	1.0	2.553	0.364
500	0.343	0.536	-3611.397	-22.419	-3588.977	0.32	1.0	4.053	0.396
600	0.412	0.536	-3611.397	-22.419	-3588.977	0.32	1.0	4.053	0.396
700	0.494	0.552	-3608.961	-23.652	-3585.309	0.32	1.0	3.262	0.373
800	0.576	0.552	-3608.961	-23.652	-3585.309	0.32	1.0	3.262	0.373
900	0.647	0.552	-3608.961	-23.652	-3585.309	0.32	1.0	3.262	0.373
1000	0.734	0.552	-3608.961	-23.652	-3585.309	0.32	1.0	3.262	0.373
1100	0.814	0.54	-3610.473	-22.747	-3587.726	0.32	1.0	3.827	0.389
1200	0.883	0.54	-3610.473	-22.747	-3587.726	0.32	1.0	3.827	0.389
1300	0.95	0.54	-3610.473	-22.747	-3587.726	0.32	1.0	3.827	0.389
1400	1.018	0.542	-3608.593	-21.454	-3587.139	0.32	1.0	4.88	0.404
1500	1.087	0.542	-3608.593	-21.454	-3587.139	0.32	1.0	4.88	0.404
1600	1.16	0.542	-3608.593	-21.454	-3587.139	0.32	1.0	4.88	0.404
1700	1.247	0.542	-3608.593	-21.454	-3587.139	0.32	1.0	4.88	0.404
1800	1.315	0.542	-3608.593	-21.454	-3587.139	0.32	1.0	4.88	0.404
1900	1.384	0.559	-3608.01	-22.811	-3585.199	0.32	1.0	3.814	0.383
2000	1.453	0.559	-3608.01	-22.811	-3585.199	0.32	1.0	3.814	0.383
2100	1.525	0.559	-3608.01	-22.811	-3585.199	0.32	1.0	3.814	0.383
2200	1.604	0.559	-3608.01	-22.811	-3585.199	0.32	1.0	3.814	0.383
2300	1.679	0.546	-3609.157	-22.261	-3586.896	0.32	1.0	4.2	0.393
2400	1.747	0.546	-3609.157	-22.261	-3586.896	0.32	1.0	4.2	0.393
2500	1.816	0.544	-3611.968	-22.196	-3589.772	0.32	1.0	4.215	0.4
2600	1.893	0.548	-3608.569	-22.137	-3586.433	0.32	1.0	4.305	0.394
2700	1.975	0.548	-3608.569	-22.137	-3586.433	0.32	1.0	4.305	0.394
2800	2.055	0.548	-3608.569	-22.137	-3586.433	0.32	1.0	4.305	0.394
2900	2.127	0.545	-3608.594	-22.182	-3586.412	0.32	1.0	4.269	0.393
3000	2.201	0.545	-3608.594	-22.182	-3586.412	0.32	1.0	4.269	0.393
3100	2.272	0.545	-3608.594	-22.182	-3586.412	0.32	1.0	4.269	0.393
3200	2.342	0.545	-3609.285	-21.492	-3587.794	0.32	1.0	4.835	0.405
3300	2.411	0.553	-3608.717	-22.666	-3586.051	0.32	1.0	3.906	0.386
3400	2.481	0.553	-3608.717	-22.666	-3586.051	0.32	1.0	3.906	0.386
3500	2.555	0.544	-3609.348	-21.947	-3587.401	0.32	1.0	4.446	0.398
3600	2.644	0.544	-3609.348	-21.947	-3587.401	0.32	1.0	4.446	0.398
3700	2.715	0.544	-3609.348	-21.947	-3587.401	0.32	1.0	4.446	0.398
3800	2.783	0.544	-3609.348	-21.947	-3587.401	0.32	1.0	4.446	0.398
3900	2.853	0.552	-3608.145	-22.439	-3585.706	0.32	1.0	4.079	0.388
4000	2.923	0.555	-3607.861	-23.06	-3584.8	0.32	1.0	3.647	0.379
4100	2.994	0.555	-3607.861	-23.06	-3584.8	0.32	1.0	3.647	0.379
4200	3.07	0.555	-3607.861	-23.06	-3584.8	0.32	1.0	3.647	0.379
4300	3.139	0.555	-3607.861	-23.06	-3584.8	0.32	1.0	3.647	0.379
4400	3.208	0.555	-3607.861	-23.06	-3584.8	0.32	1.0	3.647	0.379
4500	3.278	0.555	-3607.861	-23.06	-3584.8	0.32	1.0	3.647	0.379
4600	3.347	0.555	-3607.861	-23.06	-3584.8	0.32	1.0	3.647	0.379
4700	3.416	0.555	-3607.861	-23.06	-3584.8	0.32	1.0	3.647	0.379
4800	3.484	0.555	-3607.861	-23.06	-3584.8	0.32	1.0	3.647	0.379
4900	3.557	0.555	-3607.861	-23.06	-3584.8	0.32	1.0	3.647	0.379
5000	3.632	0.543	-3608.344	-21.462	-3586.882	0.32	1.0	4.877	0.403
5100	3.707	0.543	-3608.344	-21.462	-3586.882	0.32	1.0	4.877	0.403
5200	3.777	0.538	-3609.577	-21.348	-3588.228	0.32	1.0	4.961	0.407
