iter	hours	log_posterior	log_prior	loglik	missing	mixture	scale	shape
0	0.002	-1167.918	-14.3	-1153.618	0.5	1.0	101.054	0.206
100	0.154	-992.632	-11.504	-981.128	0.5	1.0	80.702	0.846
200	0.305	-987.337	-12.407	-974.93	0.5	1.0	62.579	0.733
300	0.454	-982.037	-15.558	-966.478	0.5	1.0	31.068	0.533
400	0.605	-979.376	-15.197	-964.179	0.5	1.0	32.599	0.6
500	0.75	-978.275	-16.326	-961.949	0.5	1.0	25.975	0.542
600	0.89	-977.803	-17.916	-959.887	0.5	1.0	18.419	0.534
700	1.032	-978.644	-22.409	-956.235	0.5	1.0	7.769	0.436
800	1.174	-976.72	-18.649	-958.071	0.5	1.0	16.104	0.5
900	1.315	-977.062	-20.19	-956.872	0.5	1.0	11.878	0.473
1000	1.456	-977.635	-21.416	-956.22	0.5	1.0	9.672	0.424
1100	1.597	-976.819	-20.073	-956.746	0.5	1.0	12.392	0.455
1200	1.743	-976.998	-17.616	-959.383	0.5	1.0	19.844	0.519
1300	1.897	-976.871	-18.2	-958.671	0.5	1.0	17.765	0.498
1400	2.047	-976.646	-18.771	-957.875	0.5	1.0	15.751	0.495
1500	2.198	-976.936	-17.823	-959.113	0.5	1.0	18.977	0.519
1600	2.343	-976.816	-18.666	-958.15	0.5	1.0	16.014	0.503
1700	2.489	-977.895	-17.005	-960.89	0.5	1.0	22.19	0.555
1800	2.634	-976.589	-19.372	-957.218	0.5	1.0	14.017	0.481
1900	2.779	-976.739	-19.995	-956.744	0.5	1.0	12.558	0.458
2000	2.925	-976.77	-19.411	-957.36	0.5	1.0	13.847	0.486
2100	3.071	-976.839	-18.583	-958.256	0.5	1.0	16.508	0.487
2200	3.217	-977.608	-22.66	-954.948	0.5	1.0	7.57	0.414
2300	3.36	-976.603	-20.096	-956.507	0.5	1.0	12.222	0.464
2400	3.506	-977.121	-18.721	-958.4	0.5	1.0	16.148	0.478
2500	3.654	-978.381	-21.942	-956.439	0.5	1.0	8.457	0.447
2600	3.801	-976.994	-21.195	-955.799	0.5	1.0	9.864	0.448
2700	3.947	-978.583	-22.601	-955.982	0.5	1.0	7.779	0.402
2800	4.093	-980.026	-16.683	-963.343	0.5	1.0	23.493	0.584
2900	4.239	-979.467	-17.257	-962.21	0.5	1.0	20.91	0.563
3000	4.383	-977.731	-18.253	-959.478	0.5	1.0	17.223	0.526
3100	4.526	-979.109	-15.459	-963.65	0.5	1.0	30.726	0.598
3200	4.668	-978.039	-17.542	-960.497	0.5	1.0	20.465	0.499
3300	4.813	-977.735	-17.004	-960.731	0.5	1.0	22.639	0.522
3400	4.955	-977.173	-17.759	-959.414	0.5	1.0	19.134	0.528
3500	5.099	-977.901	-16.551	-961.35	0.5	1.0	24.741	0.54
3600	5.241	-978.677	-18.448	-960.23	0.5	1.0	17.257	0.469
