iter	hours	assortment	log_posterior	log_prior	loglik	missing	mixture	null_assortment	scale	shape
0	0.001	0.628	-3720.209	-17.644	-3702.565	0.32	1.0	0.38	40.673	0.392
10	0.009	0.61	-3636.271	-15.876	-3620.395	0.32	1.0	0.417	35.359	0.559
20	0.016	0.576	-3634.981	-16.037	-3618.944	0.32	1.0	0.419	33.498	0.566
30	0.024	0.567	-3633.6	-17.21	-3616.391	0.32	1.0	0.417	28.526	0.525
40	0.032	0.531	-3633.993	-16.75	-3617.243	0.32	1.0	0.42	29.381	0.553
50	0.039	0.543	-3632.773	-17.544	-3615.229	0.32	1.0	0.421	25.814	0.534
60	0.047	0.493	-3633.318	-17.93	-3615.388	0.32	1.0	0.421	24.151	0.527
70	0.054	0.575	-3631.479	-19.177	-3612.302	0.32	1.0	0.423	19.542	0.504
80	0.062	0.654	-3623.41	-20.23	-3603.18	0.32	1.0	0.423	16.606	0.483
90	0.069	0.654	-3623.41	-20.23	-3603.18	0.32	1.0	0.423	16.606	0.483
100	0.077	0.654	-3623.41	-20.23	-3603.18	0.32	1.0	0.423	16.606	0.483
110	0.085	0.648	-3622.244	-22.752	-3599.491	0.32	1.0	0.426	11.021	0.442
120	0.092	0.648	-3622.244	-22.752	-3599.491	0.32	1.0	0.426	11.021	0.442
130	0.1	0.648	-3622.244	-22.752	-3599.491	0.32	1.0	0.426	11.021	0.442
140	0.108	0.63	-3621.68	-23.214	-3598.466	0.32	1.0	0.428	10.065	0.44
150	0.115	0.627	-3622.033	-23.934	-3598.1	0.32	1.0	0.43	8.871	0.433
160	0.123	0.627	-3622.033	-23.934	-3598.1	0.32	1.0	0.43	8.871	0.433
170	0.131	0.601	-3622.251	-26.36	-3595.892	0.32	1.0	0.434	5.937	0.404
180	0.139	0.617	-3620.784	-24.646	-3596.138	0.32	1.0	0.428	8.094	0.416
190	0.147	0.627	-3621.065	-24.677	-3596.388	0.32	1.0	0.427	8.137	0.413
200	0.154	0.627	-3621.065	-24.677	-3596.388	0.32	1.0	0.427	8.137	0.413
210	0.162	0.623	-3622.524	-25.055	-3597.468	0.32	1.0	0.432	7.346	0.42
220	0.17	0.629	-3622.769	-27.349	-3595.42	0.32	1.0	0.433	5.181	0.386
230	0.178	0.629	-3622.769	-27.349	-3595.42	0.32	1.0	0.433	5.181	0.386
240	0.185	0.615	-3623.124	-23.683	-3599.441	0.32	1.0	0.432	9.019	0.444
250	0.193	0.613	-3621.447	-24.416	-3597.031	0.32	1.0	0.431	8.21	0.426
260	0.201	0.613	-3621.447	-24.416	-3597.031	0.32	1.0	0.431	8.21	0.426
270	0.208	0.636	-3621.848	-25.727	-3596.121	0.32	1.0	0.428	6.891	0.399
280	0.216	0.617	-3623.158	-29.252	-3593.907	0.32	1.0	0.434	3.845	0.363
290	0.224	0.598	-3621.4	-26.963	-3594.437	0.32	1.0	0.433	5.494	0.391
300	0.231	0.598	-3621.4	-26.963	-3594.437	0.32	1.0	0.433	5.494	0.391
310	0.239	0.63	-3622.532	-27.606	-3594.926	0.32	1.0	0.431	5.037	0.38
320	0.246	0.63	-3622.532	-27.606	-3594.926	0.32	1.0	0.431	5.037	0.38
330	0.254	0.628	-3620.996	-22.929	-3598.067	0.32	1.0	0.426	10.727	0.439
340	0.261	0.628	-3620.996	-22.929	-3598.067	0.32	1.0	0.426	10.727	0.439
350	0.268	0.628	-3620.996	-22.929	-3598.067	0.32	1.0	0.426	10.727	0.439
360	0.276	0.628	-3620.996	-22.929	-3598.067	0.32	1.0	0.426	10.727	0.439
370	0.283	0.63	-3621.55	-24.674	-3596.876	0.32	1.0	0.429	8.012	0.418
380	0.291	0.63	-3621.55	-24.674	-3596.876	0.32	1.0	0.429	8.012	0.418
390	0.299	0.619	-3620.667	-23.263	-3597.404	0.32	1.0	0.427	10.13	0.435
400	0.306	0.619	-3620.667	-23.263	-3597.404	0.32	1.0	0.427	10.13	0.435
410	0.314	0.619	-3620.667	-23.263	-3597.404	0.32	1.0	0.427	10.13	0.435
420	0.321	0.619	-3620.667	-23.263	-3597.404	0.32	1.0	0.427	10.13	0.435
430	0.331	0.607	-3621.26	-23.994	-3597.266	0.32	1.0	0.43	8.772	0.433
440	0.341	0.607	-3621.26	-23.994	-3597.266	0.32	1.0	0.43	8.772	0.433
450	0.349	0.607	-3621.26	-23.994	-3597.266	0.32	1.0	0.43	8.772	0.433
460	0.358	0.6	-3621.418	-23.957	-3597.462	0.32	1.0	0.431	8.765	0.435
470	0.368	0.6	-3621.418	-23.957	-3597.462	0.32	1.0	0.431	8.765	0.435
480	0.377	0.61	-3621.192	-24.876	-3596.316	0.32	1.0	0.431	7.655	0.419
